radix,K,Kp,WS,w,throughput,latency,power,power_density,tot_area,aeff,th_on_area,pmap_num
2,2048,128,32,6,1.833495,1.116993,1.848531,1.375121,1.344268,1.363936,12.834464,7
2,2048,128,64,6,1.527912,1.340391,1.468128,1.375121,1.067636,1.431118,13.751211,9
2,2048,128,96,6,1.309639,1.563790,1.656653,1.375121,1.204732,1.087079,10.477113,8
2,2048,128,128,6,1.145934,1.787188,1.789644,1.375121,1.301444,0.880510,8.021540,7
4,2048,256,32,6,1.497953,1.367199,1.095561,1.011118,1.083514,1.382496,13.481580,9
2,2048,256,64,6,0.916747,2.233985,0.825181,1.375121,0.600079,1.527712,14.667959,16
2,2048,256,96,6,0.833407,2.457384,0.904017,1.375121,0.657409,1.267714,12.501101,15
2,2048,256,128,6,0.763956,2.680782,0.968623,1.375121,0.704391,1.084563,10.695387,14
4,2048,384,32,6,1.037045,1.974843,0.844622,1.011118,0.835334,1.241473,11.407491,11
2,2048,384,64,6,0.654820,3.127579,0.657482,1.375121,0.478126,1.369553,13.096392,20
2,2048,384,96,6,0.611165,3.350978,0.706377,1.375121,0.513684,1.189769,11.612134,19
4,2048,384,128,6,0.842599,2.430576,0.812596,1.011118,0.803660,1.048451,10.111185,12
4,2048,512,32,6,0.793034,2.582487,0.637294,1.011118,0.630286,1.258214,11.895512,15
2,2048,512,64,6,0.509304,4.021173,0.487745,1.375121,0.354693,1.435903,14.260516,28
2,2048,512,96,6,0.482499,4.244572,0.519791,1.375121,0.377996,1.276464,12.544965,26
2,2048,512,128,6,0.458374,4.467970,0.544769,1.375121,0.396161,1.157039,11.459343,25
2,4096,128,32,6,3.666990,1.116993,3.829820,1.375121,2.785078,1.316656,11.000969,3
2,4096,128,64,6,3.055825,1.340391,3.074233,1.375121,2.235609,1.366887,12.223299,4
2,4096,128,96,6,2.619278,1.563790,3.456110,1.375121,2.513313,1.042161,7.857835,3
2,4096,128,128,6,2.291869,1.787188,3.726641,1.375121,2.710045,0.845694,6.875606,3
4,4096,256,32,6,2.995907,1.367199,2.286673,1.011118,2.261528,1.324727,11.983626,4
2,4096,256,64,6,1.833495,2.233985,1.707277,1.375121,1.241547,1.476783,14.667959,8
2,4096,256,96,6,1.666814,2.457384,1.866975,1.375121,1.357680,1.227692,11.667695,7
2,4096,256,128,6,1.527912,2.680782,1.998158,1.375121,1.453078,1.051501,9.167474,6
4,4096,384,32,6,2.074089,1.974843,1.682490,1.011118,1.663989,1.246456,12.444535,6
2,4096,384,64,6,1.309639,3.127579,1.286176,1.375121,0.935318,1.400207,13.096392,10
2,4096,384,96,6,1.222330,3.350978,1.377099,1.375121,1.001438,1.220574,11.000969,9
2,4096,384,128,6,1.145934,3.574376,1.466735,1.375121,1.066622,1.074358,10.313409,9
4,4096,512,32,6,1.586068,2.582487,1.314112,1.011118,1.299662,1.220370,11.102477,7
2,4096,512,64,6,1.018608,4.021173,1.006263,1.375121,0.731763,1.391992,13.241907,13
2,4096,512,96,6,0.964997,4.244572,1.071244,1.375121,0.779018,1.238736,11.579967,12
2,4096,512,128,6,0.916747,4.467970,1.122083,1.375121,0.815989,1.123481,11.000969,12
2,6144,128,32,6,5.500485,1.116993,5.943866,1.375121,4.322431,1.272544,11.000969,2
2,6144,128,64,6,4.583737,1.340391,4.818314,1.375121,3.503920,1.308174,9.167474,2
2,6144,128,96,6,3.928918,1.563790,5.398373,1.375121,3.925744,1.000808,7.857835,2
2,6144,128,128,6,3.437803,1.787188,5.810991,1.375121,4.225803,0.813527,6.875606,2
2,6144,256,32,6,3.055825,2.010587,3.297911,1.375121,2.398269,1.274179,12.223299,4
2,6144,256,64,6,2.750242,2.233985,2.646290,1.375121,1.924405,1.429139,13.751211,5
2,6144,256,96,6,2.500220,2.457384,2.888872,1.375121,2.100813,1.190120,10.000881,4
2,6144,256,128,6,2.291869,2.680782,3.088606,1.375121,2.246061,1.020395,9.167474,4
4,6144,384,32,6,3.111134,1.974843,2.524786,1.011118,2.497022,1.245937,12.444535,4
2,6144,384,64,6,1.964459,3.127579,1.904731,1.375121,1.385137,1.418242,13.751211,7
2,6144,384,96,6,1.833495,3.350978,2.036983,1.375121,1.481312,1.237751,11.000969,6
2,6144,384,128,6,1.718901,3.574376,2.167363,1.375121,1.576125,1.090587,10.313409,6
4,6144,512,32,6,2.379102,2.582487,2.030456,1.011118,2.008129,1.184736,9.516409,4
2,6144,512,64,6,1.527912,4.021173,1.555554,1.375121,1.131212,1.350686,12.223299,8
2,6144,512,96,6,1.447496,4.244572,1.654359,1.375121,1.203064,1.203174,11.579967,8
2,6144,512,128,6,1.375121,4.467970,1.731941,1.375121,1.259483,1.091814,9.625848,7
